家賃_num,築年数_num,面積_num,徒歩分_num,駅名,駅カテゴリ,y_true_log,y_pred_log,実家賃,予測家賃
5.8,6,39.43,16,高城駅,郊外,1.7578579175523736,1.633027393538427,5.8,5.119349568291584
5.3,10,57.07,28,坂ノ市駅,郊外,1.667706820558076,1.7929365902605114,5.3,6.0070668846680295
5.1,30,54.86,14,牧駅,その他,1.62924053973028,1.5974320859545075,5.1,4.940329779495153
4.8,9,36.0,22,高城駅,郊外,1.5686159179138452,1.565591436122718,4.8,4.785504419262431
5.0,23,59.39,19,大在駅,その他,1.6094379124341003,1.711190997671532,4.999999999999999,5.535550380775151
5.9,9,57.21,9,滝尾駅,住宅地,1.7749523509116738,1.8687108088751156,5.9,6.479937134655786
4.9,16,44.52,20,高城駅,郊外,1.589235205116581,1.5984502606893698,4.9,4.945362460097869
4.9,13,38.25,20,高城駅,郊外,1.589235205116581,1.5550069403913427,4.9,4.735119388626992
6.2,17,53.59,20,大在駅,その他,1.824549292051046,1.7001555462604965,6.200000000000001,5.474798909997662
5.2,21,51.67,7,鶴崎駅,郊外,1.6486586255873816,1.636604741362813,5.2,5.13769605865504
4.7,18,42.8,12,大在駅,その他,1.547562508716013,1.571091646572497,4.7,4.8118982198662374
5.6,20,57.81,12,坂ノ市駅,郊外,1.7227665977411035,1.713871125503481,5.6,5.550406262354079
4.9,5,38.25,22,高城駅,郊外,1.589235205116581,1.6274339783458984,4.9,5.090794854273598
5.15,8,45.09,17,大在駅,その他,1.6389967146756448,1.6868983677019076,5.15,5.402697509842267
5.3,10,50.09,14,敷戸駅,郊外,1.667706820558076,1.7173759997585591,5.3,5.569893869224992
5.0,21,57.22,22,鶴崎駅,郊外,1.6094379124341003,1.6957925682621726,4.999999999999999,5.450964515086837
4.4,18,45.03,21,大分大学前駅,その他,1.4816045409242156,1.5941874090442583,4.4,4.924325983145421
5.8,15,57.76,3,鶴崎駅,郊外,1.7578579175523736,1.7609388039516791,5.8,5.817896695803241
5.2,20,50.12,19,大在駅,その他,1.6486586255873816,1.6338833128248103,5.2,5.1237331940681266
5.4,20,57.22,2,鶴崎駅,郊外,1.6863989535702288,1.7095186321527214,5.4,5.526300653808729
5.4,18,58.86,23,大在駅,その他,1.6863989535702288,1.749840629944977,5.4,5.75368563773678
4.7,31,54.81,10,大在駅,その他,1.547562508716013,1.5886796120133078,4.7,4.8972783499289765
4.9,9,50.07,23,大在駅,その他,1.589235205116581,1.7326176466435357,4.9,5.655438489161044
4.55,16,45.72,19,坂ノ市駅,郊外,1.5151272329628591,1.6122267563432295,4.550000000000001,5.013963681759673
5.7,17,58.86,5,高城駅,郊外,1.7404661748405046,1.7546721035449409,5.700000000000001,5.781551680817018
4.2,23,58.98,29,坂ノ市駅,郊外,1.4350845252893227,1.6958222788842385,4.2,5.451126469039304
5.3,28,55.98,11,滝尾駅,住宅地,1.667706820558076,1.681254642886005,5.3,5.3722920525553075
4.5,19,46.49,20,大在駅,その他,1.5040773967762742,1.601787749089423,4.5,4.9618951233822655
6.1,13,60.97,20,鶴崎駅,郊外,1.8082887711792655,1.8114730612401233,6.1,6.119455128318001
5.4,9,49.14,14,滝尾駅,住宅地,1.6863989535702288,1.7764619190672186,5.4,5.908913177949904
5.0,30,66.22,19,滝尾駅,住宅地,1.6094379124341003,1.7767768741313326,4.999999999999999,5.910774513181801
5.9,16,58.48,8,滝尾駅,住宅地,1.7749523509116738,1.8195000026147072,5.9,6.16877330814189
4.35,16,37.13,3,高城駅,郊外,1.4701758451005926,1.5189537898689078,4.35,4.567444188226393
4.5,11,30.0,6,鶴崎駅,郊外,1.5040773967762742,1.483332569969606,4.5,4.407609900971023
